# time_ms,control,value
39048,lstick_x,-20182
39048,lstick_y,-28608
39048,rstick_y,-1771
39054,lstick_x,-20182
39054,lstick_y,-28608
39054,rstick_y,-1771
39061,lstick_x,-20182
39061,lstick_y,-28608
39061,rstick_y,-1771
39072,lstick_x,-20182
39072,lstick_y,-28608
39072,rstick_y,-1771
39079,lstick_x,-20182
39079,lstick_y,-28608
39079,rstick_y,-1771
39085,lstick_x,-20182
39085,lstick_y,-28608
39085,rstick_y,-1771
39090,lstick_x,-20109
39090,lstick_y,-28632
39090,rstick_y,-1771
39093,lstick_x,-20109
39093,lstick_y,-28632
39093,rstick_y,-1771
39101,lstick_x,-20109
39101,lstick_y,-28632
39101,rstick_y,-1771
39109,lstick_x,-20109
39109,lstick_y,-28632
39109,rstick_y,-1771
39117,lstick_x,-20109
39117,lstick_y,-28632
39117,rstick_y,-1771
39122,lstick_x,-20109
39122,lstick_y,-28632
39122,rstick_y,-1771
39133,lstick_x,-20109
39133,lstick_y,-28632
39133,rstick_y,-1771
39142,lstick_x,-20109
39142,lstick_y,-28632
39142,rstick_y,-1771
39155,lstick_x,-20109
39155,lstick_y,-28632
39155,rstick_y,-1771
39158,lstick_x,-20086
39158,lstick_y,-28632
39158,rstick_y,-1771
39165,lstick_x,-20086
39165,lstick_y,-28632
39165,rstick_y,-1771
39173,lstick_x,-20086
39173,lstick_y,-28632
39173,rstick_y,-1771
39183,lstick_x,-20086
39183,lstick_y,-28632
39183,rstick_y,-1771
39187,lstick_x,-20086
39187,lstick_y,-28632
39187,rstick_y,-1771
39197,lstick_x,-20086
39197,lstick_y,-28632
39197,rstick_y,-1771
39216,lstick_x,-20086
39216,lstick_y,-28632
39216,rstick_y,-1771
39221,lstick_x,-20086
39221,lstick_y,-28632
39221,rstick_y,-1771
39226,lstick_x,-20086
39226,lstick_y,-28632
39226,rstick_y,-1771
39229,lstick_x,-20086
39229,lstick_y,-28632
39229,rstick_y,-1771
39242,lstick_x,-20086
39242,lstick_y,-28632
39242,rstick_y,-1771
39254,lstick_x,-20086
39254,lstick_y,-28632
39254,rstick_y,-1771
39264,lstick_x,-20086
39264,lstick_y,-28632
39264,rstick_y,-1771
39281,lstick_x,-20086
39281,lstick_y,-28632
39281,rstick_y,-1771
39289,lstick_x,-20086
39289,lstick_y,-28632
39289,rstick_y,-1771
39293,lstick_x,-20086
39293,lstick_y,-28632
39293,rstick_y,-1771
39296,lstick_x,-20086
39296,lstick_y,-28632
39296,rstick_y,-1771
39301,lstick_x,-20086
39301,lstick_y,-28632
39301,rstick_y,-1771
39306,lstick_x,-20086
39306,lstick_y,-28632
39306,rstick_y,-1771
39311,lstick_x,-20086
39311,lstick_y,-28632
39311,rstick_y,-1771
39317,lstick_x,-20086
39317,lstick_y,-28632
39317,rstick_y,-1771
39320,lstick_x,-20086
39320,lstick_y,-28632
39320,rstick_y,-1771
39325,lstick_x,-20086
39325,lstick_y,-28632
39325,rstick_y,-1771
39333,lstick_x,-20086
39333,lstick_y,-28456
39333,rstick_y,-1771
39337,lstick_x,-19673
39337,lstick_y,-27773
39337,rstick_y,-1771
39345,lstick_x,-19673
39345,lstick_y,-27773
39345,rstick_y,-1771
39353,lstick_x,-19673
39353,lstick_y,-27773
39353,rstick_y,-1771
39357,lstick_x,-18707
39357,lstick_y,-26591
39357,rstick_y,-1771
39364,lstick_x,-18707
39364,lstick_y,-26591
39364,rstick_y,-1771
39371,lstick_x,-10880
39371,lstick_y,-16731
39371,rstick_y,-1771
39381,lstick_x,-10880
39381,lstick_y,-16731
39381,rstick_y,-1771
39394,lstick_x,-10880
39394,lstick_y,-16731
39394,rstick_y,-1771
39397,lstick_x,-10880
39397,lstick_y,-16731
39397,rstick_y,-1771
39404,lstick_x,-1120
39404,lstick_y,-3159
39404,rstick_y,-1771
39406,lstick_x,-1120
39406,lstick_y,-3159
39406,rstick_y,-1771
39410,lstick_x,-1120
39410,lstick_y,-3159
39410,rstick_y,-1771
39413,lstick_y,-2551
39413,rstick_y,-1771
39420,lstick_y,-2551
39420,rstick_y,-1771
39434,lstick_y,-2551
39434,rstick_y,-1771
39441,lstick_y,-2551
39441,rstick_y,-1771
39443,rstick_y,-1771
39446,rstick_y,-1771
39454,rstick_y,-1771
39461,rstick_y,-1771
39469,rstick_y,-1771
